x-axis,1,2
second,Volt,Volt
+170.000E-06,,
+172.200E-06,-60.301507E-03,-60.301507E-03
+174.400E-06,-52.763819E-03,-60.301507E-03
+176.600E-06,-66.582914E-03,-80.402009E-03
+178.800E-06,-60.301507E-03,-100.502511E-03
+181.000E-06,-52.763819E-03,-92.964823E-03
+183.200E-06,-40.201005E-03,-106.783918E-03
+185.400E-06,-32.663316E-03,-113.065325E-03
+187.600E-06,-40.201005E-03,-86.683416E-03
+189.800E-06,-20.100502E-03,-113.065325E-03
+192.000E-06,+0.0E+00,-106.783918E-03
+194.200E-06,+6.281407E-03,-106.783918E-03
+196.400E-06,+12.562814E-03,-72.864321E-03
+198.600E-06,+20.100502E-03,-100.502511E-03
+200.800E-06,+12.562814E-03,-80.402009E-03
+203.000E-06,-12.562814E-03,-20.100502E-03
+205.200E-06,-32.663316E-03,-20.100502E-03
+207.400E-06,-32.663316E-03,-40.201005E-03
+209.600E-06,-20.100502E-03,-20.100502E-03
+211.800E-06,-12.562814E-03,+0.0E+00
+214.000E-06,-12.562814E-03,-20.100502E-03
+216.200E-06,-20.100502E-03,-20.100502E-03
+218.400E-06,-20.100502E-03,-20.100502E-03
+220.600E-06,-6.281407E-03,-12.562814E-03
+222.800E-06,-20.100502E-03,-32.663316E-03
+225.000E-06,-26.381909E-03,-20.100502E-03
+227.200E-06,-32.663316E-03,-12.562814E-03
+229.400E-06,-20.100502E-03,-20.100502E-03
+231.600E-06,-20.100502E-03,-6.281407E-03
+233.800E-06,-26.381909E-03,-26.381909E-03
+236.000E-06,+20.100502E-03,-100.502511E-03
+238.200E-06,+20.100502E-03,-66.582914E-03
+240.400E-06,+20.100502E-03,-60.301507E-03
+242.600E-06,+20.100502E-03,-72.864321E-03
+244.800E-06,+20.100502E-03,-40.201005E-03
+247.000E-06,+0.0E+00,-26.381909E-03
+249.200E-06,+12.562814E-03,-32.663316E-03
+251.400E-06,-20.100502E-03,-26.381909E-03
+253.600E-06,-20.100502E-03,-20.100502E-03
+255.800E-06,-40.201005E-03,-20.100502E-03
+258.000E-06,-32.663316E-03,-20.100502E-03
+260.200E-06,-46.482412E-03,-6.281407E-03
+262.400E-06,-60.301507E-03,-26.381909E-03
+264.600E-06,-72.864321E-03,-20.100502E-03
+266.800E-06,-72.864321E-03,-60.301507E-03
+269.000E-06,-100.502511E-03,-80.402009E-03
+271.200E-06,-66.582914E-03,-80.402009E-03
+273.400E-06,-60.301507E-03,-86.683416E-03
+275.600E-06,-80.402009E-03,-106.783918E-03
