second,Volt
-1.0255,-0.007538
-1.023,0
-1.0205,0.007538
-1.018,-0.007538
-1.0155,0
-1.013,-0.00804
-1.0105,-0.00804
-1.008,0
-1.0055,0
-1.003,0
-1.0005,-0.007538
-0.998,-0.007538
-0.9955,0
-0.993,0
-0.9905,0
-0.988,-0.00804
-0.9855,0.007538
-0.983,-0.00804
-0.9805,-0.015578
-0.978,0
-0.9755,0
-0.973,0
-0.9705,-0.007538
-0.968,0
-0.9655,-0.01608
-0.963,-0.015578
-0.9605,-0.007538
-0.958,-0.015578
-0.9555,-0.015578
-0.953,-0.00804
-0.9505,-0.00804
-0.948,-0.015578
-0.9455,0
-0.943,0
-0.9405,-0.00804
-0.938,0
-0.9355,-0.007538
-0.933,0
-0.9305,0.007538
-0.928,0.007538
-0.9255,-0.007538
-0.923,-0.023618
-0.9205,-0.007538
-0.918,0.00804
-0.9155,-0.015578
-0.913,-0.00804
-0.9105,0.00804
-0.908,0
-0.9055,-0.00804
-0.903,0
-0.9005,-0.007538
-0.898,0
-0.8955,0
-0.893,0
-0.8905,0
-0.888,-0.007538
-0.8855,-0.015578
-0.883,-0.007538
-0.8805,-0.00804
-0.878,0
-0.8755,-0.007538
-0.873,-0.015578
-0.8705,-0.00804
-0.868,-0.007538
-0.8655,0
-0.863,0
-0.8605,0
-0.858,0.007538
-0.8555,-0.00804
-0.853,-0.007538
-0.8505,-0.023618
-0.848,-0.00804
-0.8455,0
-0.843,-0.007538
-0.8405,0
-0.838,0
-0.8355,-0.007538
-0.833,-0.007538
-0.8305,0
-0.828,0
-0.8255,-0.023618
-0.823,-0.023618
-0.8205,-0.007538
-0.818,0
-0.8155,-0.015578
-0.813,0.007538
-0.8105,-0.00804
-0.808,0
-0.8055,0
-0.803,0
-0.8005,-0.015578
-0.798,0
-0.7955,0
-0.793,-0.023618
-0.7905,-0.007538
-0.788,0.015578
-0.7855,-0.00804
-0.783,0
-0.7805,0
-0.778,0.00804
-0.7755,0.007538
-0.773,-0.00804
-0.7705,-0.007538
-0.768,0
-0.7655,-0.015578
-0.763,0
-0.7605,-0.023618
-0.758,-0.015578
-0.7555,-0.015578
-0.753,0
-0.7505,-0.015578
-0.748,0
-0.7455,0
-0.743,0.007538
-0.7405,0
-0.738,0
-0.7355,-0.015578
-0.733,0
-0.7305,-0.023618
-0.728,0
-0.7255,0.007538
-0.723,0
-0.7205,-0.023618
-0.718,-0.015578
-0.7155,0
-0.713,-0.015578
-0.7105,0
-0.708,-0.015578
-0.7055,-0.007538
-0.703,-0.00804
-0.7005,0
-0.698,-0.007538
-0.6955,0.015578
-0.693,0
-0.6905,0
-0.688,0.007538
-0.6855,0.007538
-0.683,-0.007538
-0.6805,-0.007538
-0.678,0
-0.6755,0
-0.673,-0.023618
-0.6705,0
-0.668,-0.007538
-0.6655,-0.023618
-0.663,-0.015578
-0.6605,0.007538
-0.658,0
-0.6555,-0.007538
-0.653,-0.015578
-0.6505,-0.00804
-0.648,-0.00804
-0.6455,-0.015578
-0.643,0
-0.6405,-0.00804
-0.638,0
-0.6355,-0.015578
-0.633,0
-0.6305,-0.00804
-0.628,0.007538
-0.6255,-0.00804
-0.623,-0.015578
-0.6205,-0.00804
-0.618,0
-0.6155,-0.007538
-0.613,0
-0.6105,-0.00804
-0.608,0.007538
-0.6055,-0.007538
-0.603,-0.00804
-0.6005,-0.01608
-0.598,-0.007538
-0.5955,-0.023618
-0.593,0
-0.5905,0.007538
-0.588,-0.00804
-0.5855,0
-0.583,-0.00804
-0.5805,-0.007538
-0.578,0.007538
-0.5755,0
-0.573,-0.007538
-0.5705,0
-0.568,0
-0.5655,0
-0.563,-0.00804
-0.5605,-0.00804
-0.558,0
-0.5555,-0.007538
-0.553,-0.007538
-0.5505,-0.015578
-0.548,0
-0.5455,-0.01608
-0.543,-0.00804
-0.5405,-0.00804
-0.538,0
-0.5355,-0.01608
-0.533,-0.007538
-0.5305,-0.015578
-0.528,-0.015578
-0.5255,0
-0.523,-0.007538
-0.5205,-0.023618
-0.518,0.007538
-0.5155,0
-0.513,-0.007538
-0.5105,0
-0.508,0
-0.5055,0
-0.503,0.00804
-0.5005,-0.00804
-0.498,0
-0.4955,-0.00804
-0.493,-0.00804
-0.4905,-0.023618
-0.488,0.00804
-0.4855,0
-0.483,0.007538
-0.4805,0
-0.478,0
-0.4755,-0.023618
-0.473,-0.007538
-0.4705,-0.007538
-0.468,0
-0.4655,0.007538
-0.463,0
-0.4605,0
-0.458,0
-0.4555,-0.00804
-0.453,0
-0.4505,0
-0.448,0
-0.4455,0
-0.443,-0.00804
-0.4405,-0.007538
-0.438,-0.00804
-0.4355,0.007538
-0.433,0
-0.4305,0
-0.428,-0.00804
-0.4255,-0.015578
-0.423,-0.00804
-0.4205,-0.007538
-0.418,0
-0.4155,-0.015578
-0.413,0
-0.4105,-0.007538
-0.408,0.007538
-0.4055,0
-0.403,0
-0.4005,-0.00804
-0.398,-0.015578
-0.3955,-0.007538
-0.393,0.007538
-0.3905,-0.00804
-0.388,0.007538
-0.3855,0
-0.383,-0.00804
-0.3805,-0.015578
-0.378,0
-0.3755,0
-0.373,-0.023618
-0.3705,0
-0.368,-0.007538
-0.3655,0
-0.363,-0.007538
-0.3605,0.007538
-0.358,-0.015578
-0.3555,-0.015578
-0.353,-0.007538
-0.3505,0.007538
-0.348,-0.01608
-0.3455,-0.00804
-0.343,0.007538
-0.3405,0
-0.338,-0.00804
-0.3355,-0.00804
-0.333,-0.00804
-0.3305,0
-0.328,0
-0.3255,-0.00804
-0.323,-0.00804
-0.3205,0
-0.318,0
-0.3155,-0.007538
-0.313,0
-0.3105,-0.00804
-0.308,-0.015578
-0.3055,0.007538
-0.303,0
-0.3005,-0.392965
-0.298,0.152261
-0.2955,0.047739
-0.293,-0.071859
-0.2905,0.055779
-0.288,-0.063819
-0.2855,0.064322
-0.283,0.128141
-0.2805,-0.610553
-0.278,0.369347
-0.2755,-0.152764
-0.273,-0.10402
-0.2705,0.031658
-0.268,-0.080402
-0.2655,0.024121
-0.263,0.144221
-0.2605,-0.176382
-0.258,0
-0.2555,0.345226
-0.253,-0.144221
-0.2505,0.09598
-0.248,-0.01608
-0.2455,-0.039698
-0.243,0.063819
-0.2405,-0.00804
-0.238,0.256784
-0.2355,0.554271
-0.233,-0.184925
-0.2305,0.160302
-0.228,0.023618
-0.2255,-0.063819
-0.223,0.047739
-0.2205,-0.071859
-0.218,0.064322
-0.2155,0.08794
-0.213,-0.59397
-0.2105,0.248744
-0.208,0.120101
-0.2055,0.01608
-0.203,-0.007538
-0.2005,-0.032161
-0.198,-0.023618
-0.1955,0.152261
-0.193,-0.072362
-0.1905,0.602513
-0.188,0.280905
-0.1855,-0.152764
-0.183,0.048241
-0.1805,-0.01608
-0.178,-0.015578
-0.1755,0.064322
-0.173,-0.144221
-0.1705,-0.321106
-0.168,0.329146
-0.1655,-0.272864
-0.163,0.136683
-0.1605,0.09598
-0.158,-0.031658
-0.1555,0.023618
-0.153,0.08794
-0.1505,-0.11206
-0.148,0.168844
-0.1455,-0.353266
-0.143,0.128141
-0.1405,0.09598
-0.138,-0.080402
-0.1355,0.079899
-0.133,0.055779
-0.1305,-0.10402
-0.128,0.152261
